"model_id","review_id","user_name","star_rating","verified_purchase","review_date","review_text","brand","model_name","price","screen_size","battery","camera_main","ram","storage","has_5g","water_resistant","units_sold"
1,1,"Safiyya",4,FALSE,2023-09-11,"Battery life lasts all day ( 4000 mAh).","Apple","iPhone 15",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,2,"Hannah",2,FALSE,2023-01-26,"No 5G support is a dealbreaker.","Apple","iPhone 15",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,3,"Marissa",5,FALSE,2023-04-07,"6 GB RAM makes it super fast.","Apple","iPhone 15",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,4,"Min",5,TRUE,2023-04-27,"Love the 6.1 inch screen.","Apple","iPhone 15",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,5,"Marcus",2,TRUE,2024-03-21,"Screen is too small.","Apple","iPhone 15",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,6,"Ana",1,TRUE,2023-05-14,"No 5G support is a dealbreaker.","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,7,"Aaron",4,TRUE,2023-11-10,"Battery life lasts all day ( 4000 mAh).","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,8,"Tyler",4,TRUE,2023-10-06,"Battery life lasts all day ( 4000 mAh).","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,9,"Luc",4,FALSE,2024-03-01,"The 48MP camera is amazing!","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,10,"Catrina",2,TRUE,2024-02-29,"No 5G support is a dealbreaker.","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,11,"Sydney",5,TRUE,2023-09-09,"Love the 6.1 inch screen.","Apple","iPhone 16",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,12,"Angela",3,FALSE,2024-03-19,"Decent phone, but Great value for the price!","Apple","iPhone 16",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,13,"Shylanda",5,TRUE,2023-06-22,"Battery life lasts all day ( 4000 mAh).","Apple","iPhone 16",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,14,"Shanelle",4,TRUE,2024-04-10,"Great value for the price!","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
1,15,"Muhjar",3,FALSE,2023-08-27,"Decent phone, but Great value for the price!","Apple","iPhone 14",799,6.1,4000,"48MP",6,128,TRUE,"None",12000
2,16,"Mamoon",5,TRUE,2023-03-26,"Battery life lasts all day ( 3000 mAh).","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,17,"Hafsa",2,TRUE,2023-02-02,"Battery drains too fast.","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,18,"Daveon",4,TRUE,2024-01-30,"12 GB RAM makes it super fast.","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,19,"Hiwaaya",2,TRUE,2023-04-14,"Camera quality is disappointing.","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,20,"David",5,TRUE,2023-06-22,"Love the 6.1 inch screen.","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,21,"Alyssa",5,TRUE,2024-02-02,"The 48MP camera is amazing!","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,22,"Haala",5,TRUE,2023-05-10,"Battery life lasts all day ( 3000 mAh).","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
2,23,"Etirza",1,TRUE,2024-04-30,"No 5G support is a dealbreaker.","Apple","iPhone 15",999,6.1,3000,"48MP",12,256,TRUE,"None",15000
